id;tweet;user_id;username;place
1255106220693880832;"Díganle a una familia con hijos que lleva sin cobrar nada desde el principio del Coronavirus que no va a cobrar el ERTE hasta Junio	¿Este es el gobierno que debe proteger a la clase obrera?	Servicios Sociales desbordados por la gente no tiene ni para comer	 https://www.abc.es/economia/abci-erte-afectan-4-millones-y-atasco-amenaza-retrasar-junio-pagos-202004160159_noticia.html …";737198797185536000;"pere_cuadros";""
1255099381285556224;"Pero es un hecho. De forma más o menos ladina es lo que ha estado este gobierno, impidiendo o no suministrando medios para proteger o combatir el coronavirus a personas mayores.";1127488700999512064;"augusto16420955";""
1255092043837329409;"🔴 13:15 | Rueda de prensa con la presidenta del Gobierno de La Rioja, @ConchaAndreu, tras la Mesa Regional para la Reconstrucción Social y Económica de La Rioja.		Síguela aquí y en:  https://www.youtube.com/c/GobiernoDeLaRiojaES/live …	#coronavirus #COVID19 🦠 pic.twitter.com/AIblsOpPPj";64721604;"lariojaorg";""
1255089980428488705;"Noticias de actualidad destacadas sobre la #pandemia del #coronavirus El gobierno socialista español del presidente #PedroSanchez #SanchezDimision tiene que cambiar la gestión de la alarma  https://blogs.elconfidencial.com/espana/notebook/2020-04-28/sanchez-cambiar-gestion-alarma_2568991/ … vía @segurpricat #careonsafety #careonsafety2020";1867811605;"careonsafety";""
1255076914617868288;"Noticias de actualidad destacadas sobre la #pandemia del #Coronavirus | El Gobierno socialista español d #PedroSanchez ha planeado el uso obligatorio de mascarillas en autobuses, trenes y aviones   https://www.ideal.es/sociedad/gobierno-planea-obligatorio-mascarillas-20200428104031-nt.html#vca=eng-rrss&vcm=amp&vso=ideal&vli=tw … vía @segurpricat #careonsafety #segurpricat #barcelona2020";1867811605;"careonsafety";""
1255075052007108609;"Noticias de actualidad destacadas sobre la #pandemia del #coronavirus #Covid19. El Gobierno vasco propone ahora la mascarilla obligatoria en el transporte público  https://www.elcorreo.com/sociedad/mascarillas-obligatorias-transporte-20200427130218-nt.html#vca=eng-rrss&vcm=amp&vso=elcorreo&vli=tw … vía @segurpricat #careonsafety #segurpricat #barcelona2020 #tmbinfo #TMB_Barcelona #BCN";1867811605;"careonsafety";""
1255074344004354050;"Noticias de actualidad destacadas sobre la #pandemia del #coronavirus #Covid19 El Gobierno español socialista d #PedroSanchez prepara ayudas urgentes para la linea aérea d aviación transnational #Iberia  https://elpais.com/economia/2020-04-27/el-gobierno-prepara-ayudas-urgentes-para-iberia.html … vía #Covid19España #segurpricat";1867811605;"careonsafety";""
1255073565969440768;"Ellos no escucharon al gobierno de Taiwán, cuando les advirtió de la infección de coronavirus que se iniciaba en Wuhan.";114798511;"guarote";""
1255064910419066880;"🤦🏻‍♂️el gobierno ha dado más de 100 ruedas de prensa desde que se decretó el estado de alarma (MÁS DE CIEN) y TODAS han comenzado enviando un mensaje de condolencia a las familias de las víctimas por coronavirus. Te lo repito: MÁS DE CIEN. EN TODAS.		Estáis en un plan insoportable.";223586712;"juanmaduque";""
1255061440437915648;"Ampliando la información del #coronavirus en #España, el presidente del Gobierno, Pedro Sánchez, comparecerá en directo a las 14:00 horas.";1560590480;"martiabadf";""
