"Fecha";"Tmax"
2014-04-29;30.7
2014-04-30;30.6
2014-05-01;31.3
2014-05-02;31.4
2014-05-03;29.1
2014-05-04;31.8
2014-05-05;32.4
2014-05-06;33.2
2014-05-07;32.4
2014-05-08;30.8
2014-05-09;33.2
2014-05-10;33.4
2014-05-11;35.6
2014-05-12;35
2014-05-13;35.5
2014-05-14;33.1
2014-05-15;33.1
2014-05-16;31.6
2014-05-17;31.3
2014-05-18;29.8
2014-05-19;28.3
2014-05-20;24.5
2014-05-21;21.3
2014-05-22;23.5
2014-05-23;25.1
2014-05-24;27.5
2014-05-25;25.3
2014-05-26;28.1
2014-05-27;27.2
2014-05-28;26.3
2014-05-29;29.6
2014-05-30;30.8
2014-05-31;29
2014-06-01;26.8
2014-06-02;31.6
2014-06-03;33.3
2014-06-04;31.5
2014-06-05;32.8
2014-06-06;31.6
2014-06-07;30.5
2014-06-08;31.5
2014-06-09;32.6
2014-06-10;31.5
2014-06-11;35.4
2014-06-12;38
2014-06-13;38
2014-06-14;39.8
2014-06-15;36.8
2014-06-16;33.2
2014-06-17;32.9
2014-06-18;33.7
2014-06-19;31.9
2014-06-20;30.8
2014-06-21;30.3
2014-06-22;28.7
2014-06-23;30
2014-06-24;26.2
2014-06-25;29.6
2014-06-26;32.7
2014-06-27;35.4
2014-06-28;35.3
2014-06-29;34
2014-06-30;34.5
2014-07-01;32.2
2014-07-02;30.2465283964958
2014-07-03;28.8
2014-07-04;33.5
2014-07-05;35.7
2014-07-06;34.6
2014-07-07;33.5
2014-07-08;34.1258916705893
2014-07-09;35.3755439517777
2014-07-10;36.8
2014-07-11;38.6
2014-07-12;37.6
2014-07-13;37.3
2014-07-14;39.2
2014-07-15;41.1
2014-07-16;41.6964162570876
2014-07-17;42.2
2014-07-18;34.5
2014-07-19;29.4
2014-07-20;32.8
2014-07-21;36.8
2014-07-22;38.9
2014-07-23;39.1
2014-07-24;38.25
2014-07-25;37.4
2014-07-26;37.153484077986
2014-07-27;36.94576161265
2014-07-28;36.7
2014-07-29;33.9
2014-07-30;37.6
2014-07-31;36.1130787778405
2014-08-01;32.9219393271222
2014-08-02;31.4
2014-08-03;33.9
2014-08-04;36.4
2014-08-05;37.4
2014-08-06;39.3
2014-08-07;40.3
2014-08-08;39.3
2014-08-09;38.460121719758
2014-08-10;37.6944769881911
2014-08-11;37.3
2014-08-12;38.3
2014-08-13;36.6
2014-08-14;36.7
2014-08-15;37.7
2014-08-16;38.2
2014-08-17;38.6
2014-08-18;36.7
2014-08-19;34.5
2014-08-20;33.8
2014-08-21;35.5
2014-08-22;35.8
2014-08-23;36.1
2014-08-24;37.2
2014-08-25;39.1
2014-08-26;39.5
2014-08-27;40.9
2014-08-28;40.5
2014-08-29;38.7
2014-08-30;38.426094356497
2014-08-31;38.2
2014-09-01;41.5
2014-09-02;38.8
2014-09-03;37.45
2014-09-04;36.1
2014-09-05;34.6702552304109
2014-09-06;33.2
2014-09-08;31.7
2014-09-09;34.4
2014-09-10;32.8
2014-09-11;32.2
2014-09-12;34
2014-09-13;33.4
2014-09-14;32.6075735131222
2014-09-15;31.5
2014-09-16;28.5
2014-09-17;25.8
2014-09-18;27.2
2014-09-19;28.4
2014-09-20;30.8
2014-09-21;29.3
2014-09-22;27.8
2014-09-23;27.3
2014-09-24;28.2
2014-09-25;29.45
2014-09-26;30.7
2014-09-27;29
2014-09-28;24.6
2014-09-29;27.15
2014-09-30;29.7
2014-10-01;31.4
2014-10-02;31.4
2014-10-03;31.0601637574437
2014-10-04;30.3186471970572
2014-10-05;29.4909396168467
2014-10-06;28.7981860089356
2014-10-07;28.4
2014-10-08;28.2
2014-10-09;25.4
2014-10-10;22.6
2014-10-11;21.4267218467156
2014-10-12;20.364734800285
2014-10-13;19.8
2014-10-14;20.1
2014-10-15;22.7624084771688
2014-10-16;26
2014-10-17;29.5
2014-10-18;31.5
2014-10-19;32.6
2014-10-20;35.4
2014-10-21;33.35
2014-10-22;31.3
2014-10-23;30
2014-10-24;29.4111267264499
2014-10-25;28.9006575626436
2014-10-26;28.4961744103803
2014-10-27;28.2399152373598
2014-10-28;28.2
2014-10-29;29.5
2014-10-30;29.1927075402215
2014-10-31;28.3872493190507
2014-11-01;27.4
2014-11-02;24.8
2014-11-03;22.5285656949051
2014-11-04;20.4186471197151
2014-11-05;18.6258249792898
2014-11-06;17.6
2014-11-07;17.3227329232114
2014-11-08;17.0528519919394
2014-11-09;16.7997113728684
2014-11-10;16.6
2014-11-11;18.9
2014-11-12;18.6
2014-11-13;20.9
2014-11-14;19.4
2014-11-15;17.5
2014-11-16;17.2
2014-11-17;18.2
2014-11-18;19.5
2014-11-19;22.7
2014-11-20;25.5
2014-11-21;21
2014-11-22;24.5
2014-11-23;23.6
2014-11-24;23.7
2014-11-25;16.2
2014-11-26;16.4373414427848
2014-11-27;16.7
2014-11-28;17.6
2014-11-29;18.5
2014-11-30;18.4151656086565
2014-12-01;18.3186621946326
2014-12-02;18.2
2014-12-03;17.5
2014-12-04;13.5
2014-12-05;13.6
2014-12-06;13.6
2014-12-07;14.3
2014-12-08;17
2014-12-09;13.5
2014-12-10;15.5
2014-12-11;16.7
2014-12-12;14.9
2014-12-13;17.8
2014-12-14;11.7
